miRNA	degree	eigen	knn	hub
mmu-miR-494-3p	38	1	9.42	1
mmu-miR-31-5p	35	0.948	10.5	1
mmu-miR-23a-3p	34	0.83	9.15	1
mmu-miR-181a-5p	24	0.76	12.3	1
mmu-miR-532-3p	23	0.753	13.7	1
mmu-miR-6991-5p	26	0.737	11.1	1
mmu-miR-5100	25	0.707	10.5	1
mmu-miR-144-3p	19	0.67	15.3	1
mmu-let-7e-5p	21	0.647	12.8	1
mmu-miR-6239	16	0.604	15.5	1
mmu-miR-671-5p	16	0.575	15.2	1
mmu-miR-335-5p	16	0.52	14	1
mmu-miR-328-5p	15	0.471	13.4	1
mmu-miR-3104-5p	16	0.468	12.4	1
mmu-miR-210-3p	16	0.464	12.9	1
mmu-miR-423-5p	19	0.42	9.21	1
