miRNA	degree	eigen	knn	hub
mmu-miR-31-5p	37	1	9.38	1
mmu-miR-494-3p	32	0.809	8.97	1
mmu-miR-181a-5p	30	0.802	9.53	1
mmu-miR-5100	19	0.66	13.7	1
mmu-miR-505-5p	23	0.603	9.91	1
mmu-miR-484	17	0.568	12.2	1
mmu-miR-18a-3p	17	0.558	12.4	1
mmu-miR-700-3p	15	0.547	13.9	1
mmu-miR-423-5p	21	0.53	9.48	1
mmu-miR-210-3p	16	0.518	13	1
mmu-miR-532-3p	16	0.505	11.6	1
mmu-miR-23a-3p	19	0.49	9.84	1
mmu-miR-6991-5p	14	0.468	13.6	1
mmu-miR-328-5p	16	0.463	11.9	1
mmu-let-7e-5p	16	0.414	10.4	1
mmu-miR-335-5p	12	0.32	10	1
