miRNA	degree	eigen	knn	hub
mmu-miR-31-5p	28	1	8.89	1
mmu-miR-93-3p	20	0.928	11.4	1
mmu-miR-6991-5p	22	0.925	10.1	1
mmu-miR-23a-3p	22	0.918	10.8	1
mmu-miR-5100	21	0.912	11.4	1
mmu-miR-6239	19	0.898	13.2	1
mmu-miR-181a-5p	21	0.85	10.5	1
mmu-miR-3104-5p	15	0.813	14.6	1
mmu-miR-423-5p	23	0.716	7.7	1
mmu-miR-335-5p	14	0.661	12.4	1
mmu-let-7e-5p	15	0.654	11.7	1
mmu-miR-7045-5p	15	0.654	11.9	1
mmu-miR-484	14	0.652	12.4	1
mmu-miR-210-3p	14	0.621	12.2	1
mmu-miR-505-5p	15	0.619	11.3	1
mmu-miR-328-5p	15	0.585	9.93	1
